#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
1-O-hexadecyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphate	monoacyl-sn-glycero-3-phosphate	CHEBI:77186	CHEBI:77355	CHEBI:77589	CHEBI:17088	left_incomplete	$null$	$null$	1-palmityl-2-arachidonoyl-sn-glycero-3-phosphate(2-)	1-palmityl-2-arachidonoyl-sn-glycero-3-phosphate	monoacyl-sn-glycerol 3-phosphate(2-)	monoacyl-sn-glycerol 3-phosphate	$null$
11-methyldodecanoate	a medium chain fatty acid	CHEBI:77197	CHEBI:77359	CHEBI:59558	CHEBI:59554	left_incomplete	$null$	$null$	isotridecanoate	isotridecanoic acid	medium-chain fatty acid anion	medium-chain fatty acid	$null$
(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:76506	CHEBI:76685	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA(4-)	(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
(3R)-hydroxy-(16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontahexaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:76505	CHEBI:76684	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(3R,16Z,19Z,22Z,25Z,28Z,31Z)-3-hydroxytetratriacontahexaenoyl-CoA(4-)	(3R,16Z,19Z,22Z,25Z,28Z,31Z)-3-hydroxytetratriacontahexaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
(3R)-hydroxy-(16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontahexaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:76505	CHEBI:76684	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(3R,16Z,19Z,22Z,25Z,28Z,31Z)-3-hydroxytetratriacontahexaenoyl-CoA(4-)	(3R,16Z,19Z,22Z,25Z,28Z,31Z)-3-hydroxytetratriacontahexaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
dolichyl diphosphooligosaccharide	a polyprenol phosphate	CHEBI:57570	CHEBI:15926	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	dolichyl diphosphooligosaccharide(2-)	dolichyl diphosphooligosaccharide	polyprenol phosphate anion	polyprenol phosphate	$null$
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	a carboxylate	CHEBI:77657	CHEBI:28413	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	5-amino-1-(5-phosphonato-D-ribosyl)imidazolium-4-carboxylate(2-)	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylic acid	carboxylic acid anion	carboxylic acid	$null$
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	an aromatic carboxylate	CHEBI:77657	CHEBI:28413	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	5-amino-1-(5-phosphonato-D-ribosyl)imidazolium-4-carboxylate(2-)	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:76506	CHEBI:76685	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA(4-)	(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA	a fatty acyl-CoA	CHEBI:76506	CHEBI:76685	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA(4-)	(2E,16Z,19Z,22Z,25Z,28Z,31Z)-tetratriacontaheptaenoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(3R)-hydroxy-(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:76513	CHEBI:76686	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(3R,18Z,21Z,24Z,27Z,30Z,33Z)-3-hydroxyhexatriacontahexaenoyl-CoA(4-)	(3R,18Z,21Z,24Z,27Z,30Z,33Z)-3-hydroxyhexatriacontahexaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
aldehydo-D-glucose 6-phosphate	D-hexose phosphate	CHEBI:57584	CHEBI:15954	CHEBI:140159	CHEBI:15965	left_incomplete	$null$	$null$	aldehydo-D-glucose 6-phosphate(2-)	aldehydo-D-glucose 6-phosphate	D-hexose phosphate(2-)	D-hexose phosphate	$null$
(3R)-hydroxy-(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:76513	CHEBI:76686	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(3R,18Z,21Z,24Z,27Z,30Z,33Z)-3-hydroxyhexatriacontahexaenoyl-CoA(4-)	(3R,18Z,21Z,24Z,27Z,30Z,33Z)-3-hydroxyhexatriacontahexaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:76514	CHEBI:76687	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA(4-)	(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:76514	CHEBI:76687	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA(4-)	(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
4-sulfobenzoate	an aromatic carboxylate	CHEBI:20476	CHEBI:30789	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-sulfonatobenzoate(2-)	4-sulfobenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA	a fatty acyl-CoA	CHEBI:76514	CHEBI:76687	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA(4-)	(2E,18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontaheptaenoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA	an ultra-long-chain fatty acyl-CoA	CHEBI:76515	CHEBI:76688	CHEBI:143018	CHEBI:143017	left_incomplete	$null$	$null$	(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA(4-)	(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA	ultra-long-chain fatty acyl-CoA(4-)	ultra-long-chain fatty acyl-CoA	$null$
(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA	a very long-chain fatty acyl-CoA	CHEBI:76515	CHEBI:76688	CHEBI:138261	CHEBI:61910	left_incomplete	$null$	$null$	(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA(4-)	(18Z,21Z,24Z,27Z,30Z,33Z)-hexatriacontahexaenoyl-CoA	very long-chain fatty acyl-CoA(4-)	very long-chain fatty acyl-CoA	$null$
ATP(3-)	a ribonucleoside 5'-triphosphate	CHEBI:57299	CHEBI:237958	CHEBI:61557	CHEBI:17326	left_incomplete	$null$	$null$	ATP(3-)	({[(2R,3S,4R,5R)-3,4-dihydroxy-5-(9H-purin-9-yl)oxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	nucleoside triphosphate(4-)	nucleoside triphosphate	$null$
ATP(3-)	ATP	CHEBI:57299	CHEBI:237958	CHEBI:30616	CHEBI:237958	left_incomplete	$null$	$null$	ATP(3-)	({[(2R,3S,4R,5R)-3,4-dihydroxy-5-(9H-purin-9-yl)oxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	ATP(4-)	({[(2R,3S,4R,5R)-3,4-dihydroxy-5-(9H-purin-9-yl)oxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	$null$
ATP(3-)	a nucleoside 5'-phosphate	CHEBI:57299	CHEBI:237958	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	ATP(3-)	({[(2R,3S,4R,5R)-3,4-dihydroxy-5-(9H-purin-9-yl)oxolan-2-yl]methyl phosphonato}oxy)(phosphonatooxy)phosphinate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
neryl diphosphate	a polyprenol phosphate	CHEBI:57665	CHEBI:16172	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	neryl diphosphate(3-)	neryl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
FADH2	an oxidized flavin	CHEBI:58307	CHEBI:17877	CHEBI:60531	CHEBI:30527	left_incomplete	$null$	$null$	FADH2(2-)	FADH2	flavin(1-)	flavin	$null$
adenosine 2'-phosphate	a ribonucleoside 5'-phosphate	CHEBI:77740	CHEBI:28223	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	adenosine 2'-phosphate(2-)	adenosine 2'-phosphate	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
adenosine 2'-phosphate	a nucleoside 2'-phosphate	CHEBI:77740	CHEBI:28223	CHEBI:78552	CHEBI:37650	left_incomplete	$null$	$null$	adenosine 2'-phosphate(2-)	adenosine 2'-phosphate	ribonucleoside 2'-monophosphate(2-)	ribonucleoside 2'-monophosphate	$null$
3-oxo-3-phenylpropanoate	a 3-oxo acid	CHEBI:22731	CHEBI:28759	CHEBI:35973	CHEBI:47881	left_incomplete	$null$	$null$	3-oxo-3-phenylpropionate	3-oxo-3-phenylpropionic acid	3-oxo monocarboxylic acid anion	3-oxo monocarboxylic acid	$null$
1D-myo-inositol 3,4-bisphosphate	a myo-inositol phosphate	CHEBI:83241	CHEBI:28858	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	1D-myo-inositol 3,4-biphosphate(4-)	1D-myo-inositol 3,4-bisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
dodecyl sulfate	an alkyl sulfate	CHEBI:23872	CHEBI:45599	CHEBI:83414	CHEBI:29281	left_incomplete	$null$	$null$	dodecyl sulfate	dodecyl hydrogen sulfate	alkyl sulfate(1-)	alkyl sulfate	$null$
1'-[1,2-diacyl-sn-glycero-3-phospho],3'-[1-acyl-sn-glycero-3-phospho]-glycerol	a phosphatidylglycerol	CHEBI:64743	CHEBI:60430	CHEBI:60523	CHEBI:17517	left_incomplete	$null$	$null$	2-monolysocardiolipin(2-)	2-monolysocardiolipin	phosphatidylglycerol(1-)	phosphatidylglycerol	$null$
1-octadecanoyl-2-(9Z,12Z)-octadecadienoyl-sn-glycero-3-phospho-1D-myo-inositol	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)	CHEBI:77158	CHEBI:77343	CHEBI:83940	CHEBI:65090	left_incomplete	$null$	$null$	1-stearoyl-2-linoleoyl-sn-glycero-3-phospho-1D-myo-inositol(1-)	1-stearoyl-2-linoleoyl-sn-glycero-3-phospho-1D-myo-inositol	1-stearoyl-2-acyl-sn-glycero-3-phospho-(1D-myo-inositol)(1-)	1-octadecanoyl-2-acyl-sn-glycero-3-phospho-1D-myo-inositol	$null$
(3R,6R)-6-hydroxy-3-isopropenylheptanoate	a medium chain fatty acid	CHEBI:64225	CHEBI:64247	CHEBI:59558	CHEBI:59554	left_incomplete	$null$	$null$	(3R,6R)-6-hydroxy-3-isopropenylheptanoate	(3R,6R)-6-hydroxy-3-isopropenylheptanoic acid	medium-chain fatty acid anion	medium-chain fatty acid	$null$
(3S,6R)-6-hydroxy-3-isopropenylheptanoate	a medium chain fatty acid	CHEBI:64226	CHEBI:64249	CHEBI:59558	CHEBI:59554	left_incomplete	$null$	$null$	(3S,6R)-6-hydroxy-3-isopropenylheptanoate	(3S,6R)-6-hydroxy-3-isopropenylheptanoic acid	medium-chain fatty acid anion	medium-chain fatty acid	$null$
cyclic dehypoxanthinylfutalosinate	an aromatic carboxylate	CHEBI:64270	CHEBI:64252	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	cyclic dehypoxanthinylfutalosinate(1-)	cyclic dehypoxanthinylfutalosine	aromatic carboxylate	aromatic carboxylic acid	$null$
(12R)-hydroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	12-hydroxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	CHEBI:83343	CHEBI:34144	CHEBI:90718	CHEBI:84447	left_incomplete	$null$	$null$	12(R)-HETE(1-)	12(R)-HETE	12-HETE(1-)	(5Z,8Z,10E,14Z)-12-hydroxyicosatetraenoic acid	$null$
N-formylanthranilate	an aromatic carboxylate	CHEBI:18410	CHEBI:36575	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	N-formylanthranilate	N-formylanthranilic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
XMP	a nucleoside 5'-phosphate	CHEBI:57464	CHEBI:15652	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	5'-xanthylate(2-)	5'-xanthylic acid	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
thymidine 3'-monophosphate	a ribonucleoside 5'-phosphate	CHEBI:77843	CHEBI:55552	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	thymidine 3'-monophosphate(2-)	thymidine 3'-monophosphate	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
(2R,3S)-2,3-dimethylmalate	a 2-hydroxydicarboxylate	CHEBI:57422	CHEBI:15582	CHEBI:167114	CHEBI:50263	left_incomplete	$null$	$null$	(2R,3S)-2,3-dimethylmalate(2-)	(2R,3S)-2,3-dimethylmalic acid	2-hydroxydicarboxylate(2-)	2-hydroxydicarboxylic acid	$null$
thymidine 3'-monophosphate	a nucleoside 3'-phosphate	CHEBI:77843	CHEBI:55552	CHEBI:66949	CHEBI:16492	left_incomplete	$null$	$null$	thymidine 3'-monophosphate(2-)	thymidine 3'-monophosphate	nucleoside 3'-phosphate(2-)	nucleoside 3'-phosphate	$null$
3,6-dichloro-2-methoxybenzoate	an aromatic carboxylate	CHEBI:141349	CHEBI:81856	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3,6-dichloro-2-methoxybenzoate	dicamba	aromatic carboxylate	aromatic carboxylic acid	$null$
3,4-dihydroxy-5-all-trans-polyprenylbenzoate	an aromatic carboxylate	CHEBI:64694	CHEBI:64921	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3,4-dihydroxy-5-polyprenylbenzoate	3,4-dihydroxy-5-polyprenylbenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(S)-2-hydroxyglutarate	a 2-hydroxydicarboxylate	CHEBI:16782	CHEBI:32797	CHEBI:167114	CHEBI:50263	left_incomplete	$null$	$null$	(S)-2-hydroxyglutarate(2-)	(S)-2-hydroxyglutaric acid	2-hydroxydicarboxylate(2-)	2-hydroxydicarboxylic acid	$null$
3-maleylpyruvate	oxo dicarboxylic acid	CHEBI:16727	CHEBI:30859	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	3-maleylpyruvate(2-)	3-maleylpyruvic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
sn-glycero-3-phospho-L-serine	a carboxylate	CHEBI:64765	CHEBI:64945	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	sn-glycero-3-phosphoserine(1-)	sn-glycero-3-phosphoserine	carboxylic acid anion	carboxylic acid	$null$
(S)-lactate	a (2S)-2-hydroxycarboxylate	CHEBI:16651	CHEBI:422	CHEBI:58123	CHEBI:17375	left_incomplete	$null$	$null$	(S)-lactate	(S)-lactic acid	(2S)-2-hydroxy monocarboxylic acid anion	(2S)-2-hydroxy monocarboxylic acid	$null$
(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoate	a hydroperoxyeicosatetraenoate	CHEBI:57444	CHEBI:15626	CHEBI:59720	CHEBI:24644	left_incomplete	$null$	$null$	12(S)-HPETE(1-)	12(S)-HPETE	HPETE anion	HPETE	$null$
(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate	15-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoate	CHEBI:57446	CHEBI:15628	CHEBI:90821	CHEBI:91271	left_incomplete	$null$	$null$	15(S)-HPETE(1-)	15(S)-HPETE	15-HPETE(1-)	15-HPETE	$null$
D-glyceraldehyde 3-phosphate	glyceraldehyde 3-phosphate	CHEBI:59776	CHEBI:29052	CHEBI:58027	CHEBI:17138	left_incomplete	$null$	$null$	D-glyceraldehyde 3-phosphate(2-)	D-glyceraldehyde 3-phosphate	glyceraldehyde 3-phosphate(2-)	glyceraldehyde 3-phosphate	$null$
5-amino-2-hydroxybenzoate	an aromatic carboxylate	CHEBI:20551	CHEBI:6775	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	mesalaminate(1-)	mesalamine	aromatic carboxylate	aromatic carboxylic acid	$null$
3-amino-4-hydroxybenzoate	an aromatic carboxylate	CHEBI:60005	CHEBI:29476	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-amino-4-hydroxybenzoate	3-amino-4-hydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate	a long-chain fatty acid	CHEBI:57449	CHEBI:15631	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate	a fatty acid	CHEBI:57449	CHEBI:15631	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic acid	fatty acid anion	fatty acid	$null$
(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate	a hydroxy polyunsaturated fatty acid	CHEBI:57449	CHEBI:15631	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(5S)-hydroperoxy-(6E,8Z,11Z,14Z)-eicosatetraenoate	5-hydroperoxy-(6E,8Z,11Z,14Z)-eicosatetraenoate	CHEBI:57450	CHEBI:15632	CHEBI:90822	CHEBI:91268	left_incomplete	$null$	$null$	5(S)-HPETE(1-)	5(S)-HPETE	5-HPETE(1-)	5-HPETE	$null$
1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate	a myo-inositol phosphate	CHEBI:77983	CHEBI:62923	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate(13-)	1,5-bis(diphospho)-1D-myo-inositol 2,3,4,6-tetrakisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
di-trans,nona-cis-dodecaprenyl diphosphate	a polyprenol phosphate	CHEBI:60386	CHEBI:60461	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	ditrans,polycis-dodecaprenyl diphosphate(3-)	ditrans,polycis-dodecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
(6S)-5,6,7,8-tetrahydrofolate	5,6,7,8-tetrahydrofolate	CHEBI:57453	CHEBI:15635	CHEBI:68437	CHEBI:20506	left_incomplete	$null$	$null$	(6S)-5,6,7,8-tetrahydrofolate(2-)	(6S)-5,6,7,8-tetrahydrofolic acid	5,6,7,8-tetrahydrofolate(2-)	5,6,7,8-tetrahydrofolic acid	$null$
triphosphate(4-)	triphosphate	CHEBI:48316	CHEBI:48315	CHEBI:18036	CHEBI:48315	left_incomplete	$null$	$null$	triphosphate(4-)	triphosphate(3-)	triphosphate(5-)	triphosphate(3-)	$null$
leukotriene B4	a fatty acid	CHEBI:57461	CHEBI:15647	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	leukotriene B4(1-)	leukotriene B4	fatty acid anion	fatty acid	$null$
leukotriene B4	a long-chain fatty acid	CHEBI:57461	CHEBI:15647	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	leukotriene B4(1-)	leukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
leukotriene B4	a hydroxy polyunsaturated fatty acid	CHEBI:57461	CHEBI:15647	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	leukotriene B4(1-)	leukotriene B4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
2-oxo-dATP	a nucleoside 5'-phosphate	CHEBI:77897	CHEBI:63208	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2-hydroxy-dATP(4-)	2-hydroxy-dATP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
2-oxo-dATP	a ribonucleoside 5'-triphosphate	CHEBI:77897	CHEBI:63208	CHEBI:61557	CHEBI:17326	left_incomplete	$null$	$null$	2-hydroxy-dATP(4-)	2-hydroxy-dATP	nucleoside triphosphate(4-)	nucleoside triphosphate	$null$
2-oxo-dATP	a 2'-deoxyribonucleoside 5'-triphosphate	CHEBI:77897	CHEBI:63208	CHEBI:61560	CHEBI:16381	left_incomplete	$null$	$null$	2-hydroxy-dATP(4-)	2-hydroxy-dATP	2'-deoxyribonucleoside 5'-triphosphate(4-)	2'-deoxyribonucleoside 5'-triphosphate	$null$
Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	a mannosyl-alpha-1->6-inositol phospho-N-acylsphinganine	CHEBI:65156	CHEBI:60416	CHEBI:138893	CHEBI:139446	left_incomplete	$null$	$null$	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)(1-)	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	Man-1-6-Ins-1-P-Cer(d18:0)(1-)	Man-1-6-Ins-1-P-Cer(d18:0)	$null$
Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	an inositol-1-phosphoceramide	CHEBI:65156	CHEBI:60416	CHEBI:64916	CHEBI:60245	left_incomplete	$null$	$null$	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)(1-)	Man-beta1-6-Ins-1-P-Cer(d18:0/24:0)	inositol phosphoceramide(1-)	inositol phosphoceramide	$null$
leukotriene A4	a fatty acid	CHEBI:57463	CHEBI:15651	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	leukotriene A4(1-)	leukotriene A4	fatty acid anion	fatty acid	$null$
leukotriene A4	a long-chain fatty acid	CHEBI:57463	CHEBI:15651	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	leukotriene A4(1-)	leukotriene A4	long-chain fatty acid anion	long-chain fatty acid	$null$
8-oxo-dGTP	a 2'-deoxyribonucleoside 5'-triphosphate	CHEBI:77896	CHEBI:63220	CHEBI:61560	CHEBI:16381	left_incomplete	$null$	$null$	8-oxo-dGTP(4-)	8-oxo-dGTP	2'-deoxyribonucleoside 5'-triphosphate(4-)	2'-deoxyribonucleoside 5'-triphosphate	$null$
8-oxo-dGTP	a ribonucleoside 5'-triphosphate	CHEBI:77896	CHEBI:63220	CHEBI:61557	CHEBI:17326	left_incomplete	$null$	$null$	8-oxo-dGTP(4-)	8-oxo-dGTP	nucleoside triphosphate(4-)	nucleoside triphosphate	$null$
8-oxo-dGTP	a nucleoside 5'-phosphate	CHEBI:77896	CHEBI:63220	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	8-oxo-dGTP(4-)	8-oxo-dGTP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
TTP	a ribonucleoside 5'-triphosphate	CHEBI:63527	CHEBI:63550	CHEBI:61557	CHEBI:17326	left_incomplete	$null$	$null$	TTP(4-)	TTP	nucleoside triphosphate(4-)	nucleoside triphosphate	$null$
TTP	a nucleoside 5'-phosphate	CHEBI:63527	CHEBI:63550	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	TTP(4-)	TTP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
18-hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoate	a hydroxy polyunsaturated fatty acid	CHEBI:63590	CHEBI:63579	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	18-HETE(1-)	18-HETE	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
L-threonyl-5'-AMP	a ribonucleoside 5'-phosphate	CHEBI:64847	CHEBI:64851	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	L-threonyl-AMP(1-)	L-threonyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
L-threonyl-5'-AMP	a nucleoside 5'-phosphate	CHEBI:64847	CHEBI:64851	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	L-threonyl-AMP(1-)	L-threonyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
9-ribosyl-trans-zeatin 5'-diphosphate	a nucleoside 5'-phosphate	CHEBI:87950	CHEBI:71875	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	9-ribosyl-trans-zeatin 5'-diphosphate(3-)	9-ribosyl-trans-zeatin 5'-diphosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
