#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
GTP(3-)	GTP	CHEBI:57600	CHEBI:15996	CHEBI:37565	CHEBI:15996	left_incomplete	$null$	$null$	GTP(3-)	GTP	GTP(4-)	GTP	$null$
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol	a polyprenol phosphate	CHEBI:132519	CHEBI:134000	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)(2-)	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol	a polyprenol phosphate	CHEBI:132521	CHEBI:134003	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)(2-)	alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol	a polyprenol phosphate	CHEBI:132522	CHEBI:134004	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)(2-)	alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)	polyprenol phosphate anion	polyprenol phosphate	$null$
GTP(3-)	a nucleoside 5'-phosphate	CHEBI:57600	CHEBI:15996	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	GTP(3-)	GTP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
GTP(3-)	a ribonucleoside 5'-triphosphate	CHEBI:57600	CHEBI:15996	CHEBI:61557	CHEBI:17326	left_incomplete	$null$	$null$	GTP(3-)	GTP	nucleoside triphosphate(4-)	nucleoside triphosphate	$null$
3-fumarylpyruvate	oxo dicarboxylic acid	CHEBI:16854	CHEBI:1506	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	3-fumarylpyruvate(2-)	3-fumarylpyruvic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
(7R,8S)-7,8-diammoniononanoate	a monocarboxylate	CHEBI:149469	CHEBI:42085	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	(7R,8S)-7,8-diammoniononanoate	(7R,8S)-7,8-diaminononanoic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
5-O-(1-carboxyvinyl)-3-phosphoshikimate	a carboxylate	CHEBI:57701	CHEBI:16257	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	5-O-(1-carboxylatovinyl)-3-phosphonatoshikimate	5-O-(1-carboxyvinyl)-3-phosphoshikimic acid	carboxylic acid anion	carboxylic acid	$null$
(7R,8S)-7,8-diammoniononanoate	a carboxylate	CHEBI:149469	CHEBI:42085	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	(7R,8S)-7,8-diammoniononanoate	(7R,8S)-7,8-diaminononanoic acid	carboxylic acid anion	carboxylic acid	$null$
3-phosphooxypyruvate	a carboxylate	CHEBI:18110	CHEBI:30933	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	3-phosphonatooxypyruvate(3-)	3-phosphonooxypyruvic acid	carboxylic acid anion	carboxylic acid	$null$
(7R,8S)-7,8-diammoniononanoate	a fatty acid	CHEBI:149469	CHEBI:42085	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	(7R,8S)-7,8-diammoniononanoate	(7R,8S)-7,8-diaminononanoic acid	fatty acid anion	fatty acid	$null$
3-propylmalate	a 2-hydroxy carboxylate	CHEBI:15594	CHEBI:30850	CHEBI:58896	CHEBI:52618	left_incomplete	$null$	$null$	3-propylmalate(2-)	3-propylmalic acid	2-hydroxy carboxylate	2-hydroxy carboxylic acid	$null$
4-fumarylacetoacetate	oxo dicarboxylic acid	CHEBI:18034	CHEBI:30907	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	4-fumarylacetoacetate(2-)	4-fumarylacetoacetic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
resolvin D1	a long-chain fatty acid	CHEBI:132079	CHEBI:81564	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	resolvin D1(1-)	resolvin D1	long-chain fatty acid anion	long-chain fatty acid	$null$
5-O-(1-carboxyvinyl)-3-phosphoshikimate	a polyunsaturated dicarboxylic fatty acid	CHEBI:57701	CHEBI:16257	CHEBI:133492	CHEBI:134531	left_incomplete	$null$	$null$	5-O-(1-carboxylatovinyl)-3-phosphonatoshikimate	5-O-(1-carboxyvinyl)-3-phosphoshikimic acid	polyunsaturated dicarboxylic acid dianion	polyunsaturated dicarboxylic acid	$null$
FAD	an oxidized flavin	CHEBI:57692	CHEBI:16238	CHEBI:60531	CHEBI:30527	left_incomplete	$null$	$null$	FAD(3-)	FAD	flavin(1-)	flavin	$null$
FMNH(.)	an oxidized flavin	CHEBI:140311	CHEBI:50528	CHEBI:60531	CHEBI:30527	left_incomplete	$null$	$null$	FMNH(.)(2-)	FMNH(.)	flavin(1-)	flavin	$null$
