#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://w3id.org/chemrof
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2022-09-06
#curie_map: 
# chemrof: https://w3id.org/chemrof/
# COB: http://purl.obolibrary.org/obo/COB_
# BFO: http://purl.obolibrary.org/obo/BFO_
# RO: http://purl.obolibrary.org/obo/RO_
# CHEBI: http://purl.obolibrary.org/obo/CHEBI_
# CHEMINF: http://semanticscience.org/resource/CHEMINF_
# RXNO: http://purl.obolibrary.org/obo/RXNO_
# MOP: http://purl.obolibrary.org/obo/MOP_
# REX: http://purl.obolibrary.org/obo/REX_
# FIX: http://purl.obolibrary.org/obo/FIX_
# SIO: http://semanticscience.org/resource/SIO_
# PUBCHEM.ELEMENT: https://pubchem.ncbi.nlm.nih.gov/element/
# LANL.ELEMENT: https://periodic.lanl.gov/
# bioptop: http://purl.org/biotop/biotop.owl#
# schema: http://schema.org/
# dcterms: http://purl.org/dc/terms/
# biolink: https://w3id.org/biolink/
# linkml: https://w3id.org/linkml/
# goldbook: https://goldbook.iupac.org/terms/view/
# Wikipedia: https://en.wikipedia.org/wiki/
# biotop: http://purl.org/biotop/biotop.owl#
# skos: http://www.w3.org/2004/02/skos/core#
# wd: http://www.wikidata.org/entity/
# wdeschema: https://www.wikidata.org/wiki/Special:EntitySchemaText/
# cml: http://www.xml-cml.org/schema/
# bo: http://www.blueobelisk.org/dict/terminology
# gc: http://purl.org/gc/
# damlpt: http://www.daml.org/2003/01/periodictable/PeriodicTable#
# OntoRxn: http://www.semanticweb.com/OntoRxn#
# MetaCyc: http://identifiers.org/MetaCyc/
# UniProtKB: http://identifiers.org/uniprot/
# REACT: http://identifiers.org/reactome/
# EC: https://enzyme.expasy.org/EC/
# NCIT: http://purl.obolibrary.org/obo/NCIT_
# glycosciencesdb: https://bioregistry.io/glycosciencesdb:
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
chemrof:subatomic_particle_type#pizeromeson	pizeromeson	skos:exactMatch		CHEBI:36351		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#hadron	hadron	skos:exactMatch		CHEBI:36344		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#bottomquark	bottomquark	skos:exactMatch		CHEBI:36370		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#compositeparticle	compositeparticle	skos:exactMatch		CHEBI:36343		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#atomicnucleus	atomicnucleus	skos:exactMatch		CHEBI:33252		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#electron	electron	skos:exactMatch		CHEBI:10545		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#neutron	neutron	skos:exactMatch		CHEBI:30222		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#lepton	lepton	skos:exactMatch		CHEBI:36338		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#helion	helion	skos:exactMatch		CHEBI:30220		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#charmquark	charmquark	skos:exactMatch		CHEBI:36369		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#downquark	downquark	skos:exactMatch		CHEBI:36367		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#pipositivemeson	pipositivemeson	skos:exactMatch		CHEBI:36349		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
rdfs:label	acid anion grouping class_name	skos:exactMatch		bo:symbol		skos:exactMatch	https://w3id.org/chemrof									
chemrof:subtype_of	atom grouping class_subtype of	skos:narrowMatch		rdfs:subClassOf		skos:narrowMatch	https://w3id.org/chemrof									
chemrof:subtype_of	atom grouping class_subtype of	skos:exactMatch		wd:P2445		skos:exactMatch	https://w3id.org/chemrof									
chemrof:oxidation_number	atom occurrence_oxidation number	skos:exactMatch		goldbook:O04363		skos:exactMatch	https://w3id.org/chemrof									
bo:atomicNumber	atomic number	skos:exactMatch		wd:P1086		skos:exactMatch	https://w3id.org/chemrof									
chemrof:in_periodic_table_block	chemical element_in periodic table block	skos:exactMatch		bo:block		skos:exactMatch	https://w3id.org/chemrof									
chemrof:in_periodic_table_group	chemical element_in periodic table group	skos:exactMatch		bo:group		skos:exactMatch	https://w3id.org/chemrof									
bo:symbol	chemical element_symbol	skos:exactMatch		wd:P246		skos:exactMatch	https://w3id.org/chemrof									
chemrof:subtype_of	chemical grouping by charge_subtype of	skos:narrowMatch		rdfs:subClassOf		skos:narrowMatch	https://w3id.org/chemrof									
chemrof:subtype_of	chemical grouping by charge_subtype of	skos:exactMatch		wd:P2445		skos:exactMatch	https://w3id.org/chemrof									
rdfs:label	chemical salt by anion_name	skos:exactMatch		bo:symbol		skos:exactMatch	https://w3id.org/chemrof									
rdfs:label	chemical salt by cation_name	skos:exactMatch		bo:symbol		skos:exactMatch	https://w3id.org/chemrof									
rdfs:label	chemical salt grouping class_name	skos:exactMatch		bo:symbol		skos:exactMatch	https://w3id.org/chemrof									
chemrof:classified_by	classified by	skos:exactMatch		rdf:type		skos:exactMatch	https://w3id.org/chemrof									
chemrof:polymer_of	copolymer_polymer of	skos:exactMatch		wd:P4600		skos:exactMatch	https://w3id.org/chemrof									
chemrof:polymer_of	copolymer_polymer of	skos:exactMatch		CHEBI:60027		skos:exactMatch	https://w3id.org/chemrof									
chemrof:subtype_of	grouping class_subtype of	skos:narrowMatch		rdfs:subClassOf		skos:narrowMatch	https://w3id.org/chemrof									
chemrof:subtype_of	grouping class_subtype of	skos:exactMatch		wd:P2445		skos:exactMatch	https://w3id.org/chemrof									
chemrof:polymer_of	homopolymer_polymer of	skos:exactMatch		wd:P4600		skos:exactMatch	https://w3id.org/chemrof									
chemrof:polymer_of	homopolymer_polymer of	skos:exactMatch		CHEBI:60027		skos:exactMatch	https://w3id.org/chemrof									
chemrof:inchi_string	InChi	skos:exactMatch		OntoRXN:hasInChi		skos:exactMatch	https://w3id.org/chemrof									
chemrof:is_organic	is organic	skos:closeMatch		SIO:010072		skos:closeMatch	https://w3id.org/chemrof									
chemrof:isomeric_smiles_string	isomeric smiles string	skos:exactMatch		wd:P2017		skos:exactMatch	https://w3id.org/chemrof									
CHEMINF:000107	IUPAC name	skos:exactMatch		MI:2007		skos:exactMatch	https://w3id.org/chemrof									
chemrof:subtype_of	molecular component grouping class_subtype of	skos:narrowMatch		rdfs:subClassOf		skos:narrowMatch	https://w3id.org/chemrof									
chemrof:subtype_of	molecular component grouping class_subtype of	skos:exactMatch		wd:P2445		skos:exactMatch	https://w3id.org/chemrof									
rdfs:label	molecular derivative grouping class_name	skos:exactMatch		bo:symbol		skos:exactMatch	https://w3id.org/chemrof									
chemrof:subtype_of	molecule grouping class_subtype of	skos:narrowMatch		rdfs:subClassOf		skos:narrowMatch	https://w3id.org/chemrof									
chemrof:subtype_of	molecule grouping class_subtype of	skos:exactMatch		wd:P2445		skos:exactMatch	https://w3id.org/chemrof									
rdfs:label	name	skos:exactMatch		bo:symbol		skos:exactMatch	https://w3id.org/chemrof									
chemrof:owl_subclass_of	owl subclass of	skos:narrowMatch		bo:family		skos:narrowMatch	https://w3id.org/chemrof									
chemrof:owl_subclass_of	owl subclass of	skos:exactMatch		rdfs:subClassOf		skos:exactMatch	https://w3id.org/chemrof									
chemrof:oxidation_number	oxidation number	skos:exactMatch		goldbook:O04363		skos:exactMatch	https://w3id.org/chemrof									
chemrof:polymer_of	polymer of	skos:exactMatch		wd:P4600		skos:exactMatch	https://w3id.org/chemrof									
chemrof:polymer_of	polymer of	skos:exactMatch		CHEBI:60027		skos:exactMatch	https://w3id.org/chemrof									
CHEMINF:000107	racemic mixture_IUPAC name	skos:exactMatch		MI:2007		skos:exactMatch	https://w3id.org/chemrof									
chemrof:subtype_of	subtype of	skos:narrowMatch		rdfs:subClassOf		skos:narrowMatch	https://w3id.org/chemrof									
chemrof:subtype_of	subtype of	skos:exactMatch		wd:P2445		skos:exactMatch	https://w3id.org/chemrof									
chemrof:BronstedAcid	Bronsted acid	skos:exactMatch		CHEBI:39141		skos:exactMatch	https://w3id.org/chemrof									
chemrof:ChemicalElement	chemical element	skos:exactMatch		wd:Q11344		skos:exactMatch	https://w3id.org/chemrof									
chemrof:ChemicalElement	chemical element	skos:exactMatch		gc:Element		skos:exactMatch	https://w3id.org/chemrof									
chemrof:ChemicalEntity	chemical entity	skos:exactMatch		SIO:010004		skos:exactMatch	https://w3id.org/chemrof									
chemrof:ChemicalMixture	chemical mixture	skos:exactMatch		CHEBI:60004		skos:exactMatch	https://w3id.org/chemrof									
chemrof:ChemicalSalt	chemical salt	skos:exactMatch		SIO:001422		skos:exactMatch	https://w3id.org/chemrof									
chemrof:Enantiomer	enantiomer	skos:exactMatch		SIO:010777		skos:exactMatch	https://w3id.org/chemrof									
chemrof:Isotope	isotope	skos:exactMatch		wd:Q25276		skos:exactMatch	https://w3id.org/chemrof									
chemrof:Macromolecule	macromolecule	skos:exactMatch		Wikipedia:Macromolecule		skos:exactMatch	https://w3id.org/chemrof									
chemrof:MolecularComplex	molecular complex	skos:exactMatch		biotop:MoleculeComplex		skos:exactMatch	https://w3id.org/chemrof									
chemrof:MolecularComplex	molecular complex	skos:exactMatch		SIO:010506		skos:exactMatch	https://w3id.org/chemrof									
chemrof:MolecularComplex	molecular complex	skos:exactMatch		COB:0000080		skos:exactMatch	https://w3id.org/chemrof									
chemrof:Molecule	molecule	skos:exactMatch		SIO:011125		skos:exactMatch	https://w3id.org/chemrof									
chemrof:Molecule	molecule	skos:exactMatch		biotop:MonoMolecularEntity		skos:exactMatch	https://w3id.org/chemrof									
chemrof:Molecule	molecule	skos:exactMatch		gc:Molecule		skos:exactMatch	https://w3id.org/chemrof									
chemrof:MonomolecularPolymer	monomolecular polymer	skos:exactMatch		wd:Q81163		skos:exactMatch	https://w3id.org/chemrof									
owl:Class	owl class	skos:closeMatch		skos:Concept		skos:closeMatch	https://w3id.org/chemrof									
owl:Class	owl class	skos:exactMatch		wd:Q24017414		skos:exactMatch	https://w3id.org/chemrof									
chemrof:PreciseChemicalMixture	precise chemical mixture	skos:exactMatch		SIO:011126		skos:exactMatch	https://w3id.org/chemrof									
chemrof:RacemicMixture	racemic mixture	skos:exactMatch		CHEBI:60911		skos:exactMatch	https://w3id.org/chemrof									
chemrof:RacemicMixture	racemic mixture	skos:exactMatch		NCIT:C103198		skos:exactMatch	https://w3id.org/chemrof									
chemrof:RacemicMixture	racemic mixture	skos:exactMatch		wdeschema:E47		skos:exactMatch	https://w3id.org/chemrof									
chemrof:RacemicMixture	racemic mixture	skos:exactMatch		wd:Q467717		skos:exactMatch	https://w3id.org/chemrof									
chemrof:RacemicMixture	racemic mixture	skos:exactMatch		goldbook:R05025		skos:exactMatch	https://w3id.org/chemrof									
chemrof:RelationalChemicalEntity	relational chemical entity	skos:closeMatch		biolink:Association		skos:closeMatch	https://w3id.org/chemrof									
chemrof:Stereoisomer	stereoisomer	skos:exactMatch		SIO:010775		skos:exactMatch	https://w3id.org/chemrof									
chemrof:SupramolecularPolymer	supramolecular polymer	skos:exactMatch		Wikipedia:Supramolecular_polymer		skos:exactMatch	https://w3id.org/chemrof									
